diputado_id,partido_id,partido_nombre,partido_alias,fecha_inicio,fecha_termino,intervalo_valido,observacion_calidad,fecha_termino_original,regla_asignacion_partido
1016,IND,Independientes,IND,2023-03-09 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1116,IND,Independientes,IND,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1116,IND,Independientes,IND,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
973,PC,Partido Comunista,PC,2014-03-11 00:00:00,2018-03-10 23:59:59,True,,2018-03-10 23:59:59,vigencia_temporal_estandar
973,PC,Partido Comunista,PC,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
973,PC,Partido Comunista,PC,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1017,UDI,Unión Demócrata Independiente,UDI,2022-03-11 00:00:00,2025-03-18 23:59:59,True,,2025-03-18 23:59:59,vigencia_temporal_estandar
1017,PREP,Partido Republicano,PREP,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1117,PC,Partido Comunista,PC,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1117,PC,Partido Comunista,PC,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1019,RN,Renovación Nacional,RN,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1019,RN,Renovación Nacional,RN,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1021,RN,Renovación Nacional,RN,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1021,RN,Renovación Nacional,RN,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1021,RN,Renovación Nacional,RN,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
975,PS,Partido Socialista,PS,2014-03-11 00:00:00,2018-03-10 23:59:59,True,,2018-03-10 23:59:59,vigencia_temporal_estandar
975,PS,Partido Socialista,PS,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
975,PS,Partido Socialista,PS,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1022,RN,Renovación Nacional,RN,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1022,RN,Renovación Nacional,RN,2022-03-11 00:00:00,2024-08-05 23:59:59,True,,2024-08-05 23:59:59,vigencia_temporal_estandar
1022,IND,Independientes,IND,2024-08-06 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1118,DC,Partido Demócrata Cristiano,DC,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
976,UDI,Unión Demócrata Independiente,UDI,2014-03-11 00:00:00,2018-03-10 23:59:59,True,,2018-03-10 23:59:59,vigencia_temporal_estandar
976,UDI,Unión Demócrata Independiente,UDI,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
976,UDI,Unión Demócrata Independiente,UDI,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1119,PSC,Partido Social Cristiano,PSC,2023-03-22 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1119,PCC,Partido Conservador Cristiano,PCC,2022-03-11 00:00:00,2023-03-21 23:59:59,True,,2023-03-21 23:59:59,vigencia_temporal_estandar
1119,PSC,Partido Social Cristiano,PSC,2026-03-11 00:00:00,2026-09-01 23:59:59,True,,2026-09-01 23:59:59,vigencia_temporal_estandar
1119,PCCH,Partido Cristiano de Chile,PCCH,2026-09-02 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1120,IND,Independientes,IND,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1121,UDI,Unión Demócrata Independiente,UDI,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1122,PC,Partido Comunista,PC,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1122,PC,Partido Comunista,PC,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1123,PREP,Partido Republicano,PREP,2022-03-11 00:00:00,2022-08-31 23:59:59,True,,2022-08-31 23:59:59,vigencia_temporal_estandar
1123,IND,Independientes,IND,2022-09-01 00:00:00,2025-06-16 23:59:59,True,,2025-06-16 23:59:59,vigencia_temporal_estandar
1123,PNL,Partido Nacional Libertario,PNL,2025-06-17 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1124,PS,Partido Socialista,PS,2022-03-11 00:00:00,2025-05-05 23:59:59,True,,2025-05-05 23:59:59,vigencia_temporal_estandar
1025,RN,Renovación Nacional,RN,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1025,RN,Renovación Nacional,RN,2022-03-11 00:00:00,2023-08-22 23:59:59,True,,2023-08-22 23:59:59,vigencia_temporal_estandar
1025,IND,Independientes,IND,2023-08-23 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1025,PREP,Partido Republicano,PREP,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1125,PEV,Partido Ecologista Verde,PEV,2022-03-11 00:00:00,2023-04-03 23:59:59,True,,2023-04-03 23:59:59,vigencia_temporal_estandar
1125,IND,Independientes,IND,2023-04-04 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1126,UDI,Unión Demócrata Independiente,UDI,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1027,RN,Renovación Nacional,RN,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1027,RN,Renovación Nacional,RN,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1028,RN,Renovación Nacional,RN,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1028,RN,Renovación Nacional,RN,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1028,RN,Renovación Nacional,RN,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1030,RN,Renovación Nacional,RN,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1030,RN,Renovación Nacional,RN,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1127,IND,Independientes,IND,2022-03-11 00:00:00,2023-03-27 23:59:59,True,,2023-03-27 23:59:59,vigencia_temporal_estandar
1127,PCS,Partido Convergencia Social,PCS,2023-03-28 00:00:00,2024-07-02 23:59:59,True,,2024-07-02 23:59:59,vigencia_temporal_estandar
1127,FA,Frente Amplio,FA,2024-07-03 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1127,FA,Frente Amplio,FA,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1031,UDI,Unión Demócrata Independiente,UDI,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1031,UDI,Unión Demócrata Independiente,UDI,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1128,IND,Independientes,IND,2022-03-11 00:00:00,2023-03-06 23:59:59,True,,2023-03-06 23:59:59,vigencia_temporal_estandar
1128,PAH,Partido Acción Humanista,PAH,2023-03-07 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1128,PAH,Partido Acción Humanista,PAH,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1129,IND,Independientes,IND,2022-03-11 00:00:00,2024-07-02 23:59:59,True,,2024-07-02 23:59:59,vigencia_temporal_estandar
1129,FA,Frente Amplio,FA,2024-07-03 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1034,PEV,Partido Ecologista Verde,PEV,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1034,PEV,Partido Ecologista Verde,PEV,2022-03-11 00:00:00,2024-07-02 23:59:59,True,,2024-07-02 23:59:59,vigencia_temporal_estandar
1034,IND,Independientes,IND,2024-07-03 00:00:00,2025-08-11 23:59:59,True,,2025-08-11 23:59:59,vigencia_temporal_estandar
1034,PEV,Partido Ecologista Verde,PEV,2025-08-12 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1130,IND,Independientes,IND,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1131,RN,Renovación Nacional,RN,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1131,RN,Renovación Nacional,RN,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1132,EVOP,Evolución Política,EVOP,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
1132,EVOP,Evolución Política,EVOP,2026-03-11 00:00:00,2030-03-10 23:59:59,True,,2030-03-10 23:59:59,vigencia_temporal_estandar
1035,PC,Partido Comunista,PC,2018-03-11 00:00:00,2022-03-10 23:59:59,True,,2022-03-10 23:59:59,vigencia_temporal_estandar
1035,PC,Partido Comunista,PC,2022-03-11 00:00:00,2026-03-10 23:59:59,True,,2026-03-10 23:59:59,vigencia_temporal_estandar
